ItemNb,Condition,Sound1,DurationSound1,Sound2,DurationSound2,Sound3,DurationSound3,ExpectedKey,Condition2,trials_task3.thisRepN,trials_task3.thisTrialN,trials_task3.thisN,trials_task3.thisIndex,trials_task1.thisRepN,trials_task1.thisTrialN,trials_task1.thisN,trials_task1.thisIndex,thisRow.t,notes,Welcome.started,textWelcomeMessage.started,keyWelcome.started,Welcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.duration,Welcome_2.started,textWelcome2.started,key_resp_5.started,Welcome_2.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,Welcome_3.started,textWelcome3.started,key_resp_6.started,Welcome_3.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,blank.started,blank1.started,blank1.stopped,blank.stopped,volume_explanation.started,text_volume.started,key_resp_8.started,volume_explanation.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,volume.started,text_2.started,key_resp_7.started,sound_testvolume.started,volume.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,explanation.started,text.started,key_info_oddity.started,explanation.stopped,key_info_oddity.keys,key_info_oddity.rt,key_info_oddity.duration,task3.started,key_replay3.started,text_recording1_3.started,sound1_3.started,key_resp_question3.started,text_recording1_3.stopped,sound1_3.stopped,text_questiontask3.started,task3.stopped,key_resp_question3.keys,key_resp_question3.rt,key_resp_question3.duration,key_replay3.keys,explanation_3.started,text_4.started,key_resp_3.started,explanation_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,explanation_1.started,text_explanation_1.started,key_resp.started,explanation_1.stopped,key_resp.keys,key_resp.rt,key_resp.duration,task1.started,key_replay1.started,text_recording1.started,sound1.started,text_recording1.stopped,sound1.stopped,text_recording2.started,sound2.started,text_recording2.stopped,sound2.stopped,text_recording3.started,sound3.started,text_recording3.stopped,sound3.stopped,key_resp_question1.started,text_question1.started,task1.stopped,key_resp_question1.keys,key_resp_question1.rt,key_resp_question1.duration,key_replay1.keys,replay_count,Bye.started,text_6.started,Bye.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,0.02743029996054247,0.060835199954453856,0.060835199954453856,11.842530699970666,space,11.777870899997652,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adrian,001,2024-02-04_14h43.40.994,M2_experiment1,2023.2.3,60.04044324297967,2024-02-04 14h44.07.556843 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,11.842570699984208,11.858109399967361,11.858109399967361,18.040689099987503,space,6.177167499961797,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adrian,001,2024-02-04_14h43.40.994,M2_experiment1,2023.2.3,60.04044324297967,2024-02-04 14h44.07.556843 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.04072679998353,18.05716439994285,18.05716439994285,44.83237579994602,space,26.758845200005453,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adrian,001,2024-02-04_14h43.40.994,M2_experiment1,2023.2.3,60.04044324297967,2024-02-04 14h44.07.556843 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.83241499995347,44.84702229994582,45.84718919999432,45.83116829994833,45.83118809998268,45.84718919999432,45.84718919999432,57.57783569995081,space,11.724859000009019,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adrian,001,2024-02-04_14h43.40.994,M2_experiment1,2023.2.3,60.04044324297967,2024-02-04 14h44.07.556843 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.577878699987195,57.60366639995482,58.5941861999454,58.59262493994902,76.5547213999671,space,17.951243699993938,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adrian,001,2024-02-04_14h43.40.994,M2_experiment1,2023.2.3,60.04044324297967,2024-02-04 14h44.07.556843 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.55476809997344,76.57067879999522,76.57067879999522,100.96341829997255,space,24.39157829998294,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adrian,001,2024-02-04_14h43.40.994,M2_experiment1,2023.2.3,60.04044324297967,2024-02-04 14h44.07.556843 +0100,
52,NotModifiedSH,resources/new_sounds_not_modified/M4swoosh.wav,0.736227123531279,None,None,None,None,e,M,0,0,0,28,,,,,101.01424879999831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.00038079998922,101.01424879999831,101.48133799998323,0.4990661999909207,102.21261849999428,102.23368799994932,1.2500221999944188,102.71609759994317,134.13575479999417,r,31.913641200051643,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adrian,001,2024-02-04_14h43.40.994,M2_experiment1,2023.2.3,60.04044324297967,2024-02-04 14h44.07.556843 +0100,
39,ModifiedSH,resources/new_sounds_2/M7fresher.wav,0.497256235827664,None,None,None,None,r,M,0,1,1,15,,,,,134.15407629997935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.14066629996523,134.15407629997935,134.65081289998489,0.5105451000272296,135.15044869994745,135.15044869994745,1.0105895000160672,135.6503869999433,161.01017659995705,e,25.8537842000369,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adrian,001,2024-02-04_14h43.40.994,M2_experiment1,2023.2.3,60.04044324297967,2024-02-04 14h44.07.556843 +0100,
53,NotModifiedSH,resources/new_sounds_not_modified/M6fresher.wav,0.558439616650624,None,None,None,None,e,M,0,2,2,29,,,,,161.0284598999424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.01104129996384,161.0284598999424,161.52649699995527,0.5159601999912411,162.07945979997749,162.1134348999476,,162.5767567999428,169.3909796999651,r,7.308967999997549,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adrian,001,2024-02-04_14h43.40.994,M2_experiment1,2023.2.3,60.04044324297967,2024-02-04 14h44.07.556843 +0100,
34,ModifiedSH,resources/new_sounds_2/M7mosh.wav,0.486031746031746,None,None,None,None,r,M,0,3,3,10,,,,,169.40923529997235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.39191359997494,169.40923529997235,169.9057472999557,0.5142782999901101,170.38871419994393,170.41955829999642,,170.8889670999488,181.73702779994346,e,11.332137199991848,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adrian,001,2024-02-04_14h43.40.994,M2_experiment1,2023.2.3,60.04044324297967,2024-02-04 14h44.07.556843 +0100,
