ItemNb,Condition,Sound1,DurationSound1,Sound2,DurationSound2,Sound3,DurationSound3,ExpectedKey,Condition2,trials_task3.thisRepN,trials_task3.thisTrialN,trials_task3.thisN,trials_task3.thisIndex,trials_task1.thisRepN,trials_task1.thisTrialN,trials_task1.thisN,trials_task1.thisIndex,thisRow.t,notes,Welcome.started,textWelcomeMessage.started,keyWelcome.started,Welcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.duration,Welcome_2.started,textWelcome2.started,key_resp_5.started,Welcome_2.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,Welcome_3.started,textWelcome3.started,key_resp_6.started,Welcome_3.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,blank.started,blank1.started,blank1.stopped,blank.stopped,volume_explanation.started,text_volume.started,key_resp_8.started,volume_explanation.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,volume.started,text_2.started,key_resp_7.started,sound_testvolume.started,volume.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,explanation.started,text.started,key_info_oddity.started,explanation.stopped,key_info_oddity.keys,key_info_oddity.rt,key_info_oddity.duration,task3.started,key_replay3.started,text_recording1_3.started,sound1_3.started,key_resp_question3.started,text_recording1_3.stopped,sound1_3.stopped,text_questiontask3.started,task3.stopped,key_resp_question3.keys,key_resp_question3.rt,key_resp_question3.duration,key_replay3.keys,explanation_3.started,text_4.started,key_resp_3.started,explanation_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,explanation_1.started,text_explanation_1.started,key_resp.started,explanation_1.stopped,key_resp.keys,key_resp.rt,key_resp.duration,task1.started,key_replay1.started,text_recording1.started,sound1.started,text_recording1.stopped,sound1.stopped,text_recording2.started,sound2.started,text_recording2.stopped,sound2.stopped,text_recording3.started,sound3.started,key_resp_question1.started,text_recording3.stopped,sound3.stopped,text_question1.started,task1.stopped,key_resp_question1.keys,key_resp_question1.rt,key_resp_question1.duration,key_replay1.keys,replay_count,Bye.started,text_6.started,Bye.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,0.010984200052917004,0.03253630001563579,0.03253630001563579,12.23252489999868,space,12.191653299960308,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Colin,001,2024-02-04_21h23.07.933,M2_experiment1,2023.2.3,60.01828156802955,2024-02-04 21h23.21.521979 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,12.23256150004454,12.247813699999824,12.247813699999824,15.04782229999546,space,2.790670200018212,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Colin,001,2024-02-04_21h23.07.933,M2_experiment1,2023.2.3,60.01828156802955,2024-02-04 21h23.21.521979 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.047859900048934,15.064503600005992,15.064503600005992,21.812752500060014,space,6.746910299989395,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Colin,001,2024-02-04_21h23.07.933,M2_experiment1,2023.2.3,60.01828156802955,2024-02-04 21h23.21.521979 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.812790399999358,21.82776640006341,22.82836100005079,22.81195900007151,22.81198030000087,22.82836100005079,22.82836100005079,32.2087818,space,9.372456400073133,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Colin,001,2024-02-04_21h23.07.933,M2_experiment1,2023.2.3,60.01828156802955,2024-02-04 21h23.21.521979 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.208823200082406,32.23529410001356,33.22440700000152,33.22429596004076,41.689304500003345,space,8.448476199992001,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Colin,001,2024-02-04_21h23.07.933,M2_experiment1,2023.2.3,60.01828156802955,2024-02-04 21h23.21.521979 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.712261100066826,41.72468179999851,41.72468179999851,52.352506699971855,space,10.611678499961272,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Colin,001,2024-02-04_21h23.07.933,M2_experiment1,2023.2.3,60.01828156802955,2024-02-04 21h23.21.521979 +0100,
33,ModifiedT,resources/new_sounds_2/M7fatter.wav,0.644739229024943,None,None,None,None,r,M,0,0,0,9,,,,,52.3969162000576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.384686800069176,52.3969162000576,52.86780090001412,0.5153541000327095,53.50094409997109,53.51762429997325,1.1651720999507234,54.00076199998148,64.43210700002965,e,10.921699800062925,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Colin,001,2024-02-04_21h23.07.933,M2_experiment1,2023.2.3,60.01828156802955,2024-02-04 21h23.21.521979 +0100,
51,NotModifiedSH,resources/new_sounds_not_modified/M4mosh.wav,0.573267020202984,None,None,None,None,e,M,0,1,1,27,,,,,64.44809139997233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.43326820002403,64.44809139997233,64.94703669997398,0.5141438000136986,65.51356360001955,65.53020949999336,1.0973183000460267,66.01341570005752,66.31467300001532,e,0.7885749000124633,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Colin,001,2024-02-04_21h23.07.933,M2_experiment1,2023.2.3,60.01828156802955,2024-02-04 21h23.21.521979 +0100,
27,ModifiedSH,resources/new_sounds_2/M4flesh.wav,0.722767978649223,None,None,None,None,r,M,0,2,2,3,,,,,66.33036510006059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.31547560007311,66.33036510006059,66.82997940003406,0.5148885999806225,67.5462617999874,67.56285570003092,,68.04608000000007,68.23088140005711,e,0.6719635999761522,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Colin,001,2024-02-04_21h23.07.933,M2_experiment1,2023.2.3,60.01828156802955,2024-02-04 21h23.21.521979 +0100,
52,NotModifiedSH,resources/new_sounds_not_modified/M4swoosh.wav,0.736227123531279,None,None,None,None,e,M,0,3,3,28,,,,,68.2466794999782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.2316708000144,68.2466794999782,68.74581430002581,0.5145084999967366,69.47890230000485,69.49570239998866,1.2643986999755725,69.97872690006625,75.46193460002542,r,5.966844400041737,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Colin,001,2024-02-04_21h23.07.933,M2_experiment1,2023.2.3,60.01828156802955,2024-02-04 21h23.21.521979 +0100,
