ItemNb,Condition,Sound1,DurationSound1,Sound2,DurationSound2,Sound3,DurationSound3,ExpectedKey,Condition2,trials_task3.thisRepN,trials_task3.thisTrialN,trials_task3.thisN,trials_task3.thisIndex,trials_task1.thisRepN,trials_task1.thisTrialN,trials_task1.thisN,trials_task1.thisIndex,thisRow.t,notes,Welcome.started,textWelcomeMessage.started,keyWelcome.started,Welcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.duration,Welcome_2.started,textWelcome2.started,key_resp_5.started,Welcome_2.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,Welcome_3.started,textWelcome3.started,key_resp_6.started,Welcome_3.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,blank.started,blank1.started,blank1.stopped,blank.stopped,volume_explanation.started,text_volume.started,key_resp_8.started,volume_explanation.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,volume.started,text_2.started,key_resp_7.started,sound_testvolume.started,volume.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,explanation.started,text.started,key_info_oddity.started,explanation.stopped,key_info_oddity.keys,key_info_oddity.rt,key_info_oddity.duration,task3.started,key_replay3.started,text_recording1_3.started,sound1_3.started,key_resp_question3.started,text_recording1_3.stopped,sound1_3.stopped,text_questiontask3.started,task3.stopped,key_resp_question3.keys,key_resp_question3.rt,key_resp_question3.duration,key_replay3.keys,explanation_3.started,text_4.started,key_resp_3.started,explanation_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,explanation_1.started,text_explanation_1.started,key_resp.started,explanation_1.stopped,key_resp.keys,key_resp.rt,key_resp.duration,task1.started,key_replay1.started,text_recording1.started,sound1.started,text_recording1.stopped,sound1.stopped,text_recording2.started,sound2.started,text_recording2.stopped,sound2.stopped,text_recording3.started,sound3.started,text_recording3.stopped,sound3.stopped,key_resp_question1.started,text_question1.started,task1.stopped,key_resp_question1.keys,key_resp_question1.rt,key_resp_question1.duration,key_replay1.keys,replay_count,Bye.started,text_6.started,Bye.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,,,,,0.0096582,0.0229647,0.0229647,5.8728872,space,5.8460076,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kaldip,1,2024-02-04_20h50.59.720,M2_experiment1,2023.2.3,59.99494841,2024-02-04 20h51.12.845095 +0100
,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8729268,5.8878843,5.8878843,11.4059208,space,5.5138462,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kaldip,1,2024-02-04_20h50.59.720,M2_experiment1,2023.2.3,59.99494841,2024-02-04 20h51.12.845095 +0100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.4059587,11.4222644,11.4222644,25.782959,space,14.3440722,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kaldip,1,2024-02-04_20h50.59.720,M2_experiment1,2023.2.3,59.99494841,2024-02-04 20h51.12.845095 +0100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.7829955,25.7984884,26.7992806,26.7832787,26.7832992,26.7992806,26.7992806,33.4814352,space,6.6752944,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kaldip,1,2024-02-04_20h50.59.720,M2_experiment1,2023.2.3,59.99494841,2024-02-04 20h51.12.845095 +0100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.4814873,33.5104404,34.4970827,34.49717335,48.2104807,space,13.711088,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kaldip,1,2024-02-04_20h50.59.720,M2_experiment1,2023.2.3,59.99494841,2024-02-04 20h51.12.845095 +0100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.2105264,48.2265446,48.2265446,66.0876186,space,17.8444588,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kaldip,1,2024-02-04_20h50.59.720,M2_experiment1,2023.2.3,59.99494841,2024-02-04 20h51.12.845095 +0100
49,NotModifiedT,resources/new_sounds_not_modified/M2lot.wav,0.466575772,None,None,None,None,e,M,0,0,0,25,,,,,66.1317278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.1197604,66.1317278,66.6030115,0.5154519,67.0530876,67.0695344,0.9819671,67.5694103,69.5868851,e,2.5290048,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kaldip,1,2024-02-04_20h50.59.720,M2_experiment1,2023.2.3,59.99494841,2024-02-04 20h51.12.845095 +0100
31,NotModifiedT,resources/new_sounds_not_modified/F3footer.wav,0.573733808,None,None,None,None,e,F,0,1,1,7,,,,,69.6028004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.5881358,69.6028004,70.1019528,0.5143175,70.6683695,70.6849377,1.0972711,71.168215,72.4693354,e,1.7902429,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kaldip,1,2024-02-04_20h50.59.720,M2_experiment1,2023.2.3,59.99494841,2024-02-04 20h51.12.845095 +0100
32,ModifiedT,resources/new_sounds_2/M2city.wav,0.658866213,None,None,None,None,r,M,0,2,2,8,,,,,72.4850299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.4701298,72.4850299,72.9841317,0.5143737,73.634057,73.6711257,,74.1338728,75.8180044,r,2.1700224,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kaldip,1,2024-02-04_20h50.59.720,M2_experiment1,2023.2.3,59.99494841,2024-02-04 20h51.12.845095 +0100
37,ModifiedT,resources/new_sounds_2/F4lot.wav,0.449274376,None,None,None,None,r,F,0,3,3,13,,,,,75.8335315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.8187819,75.8335315,76.3331652,0.514754,76.7830099,76.7830099,0.9650103,77.2829041,79.4501607,e,2.665241,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kaldip,1,2024-02-04_20h50.59.720,M2_experiment1,2023.2.3,59.99494841,2024-02-04 20h51.12.845095 +0100
35,NotModifiedSH,resources/new_sounds_not_modified/M7mosh.wav,0.618134342,None,None,None,None,e,M,0,4,4,11,,,,,79.4658988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.4509331,79.4658988,79.9654511,0.5148876,80.581923,80.6104098,,81.0815274,81.7494588,e,1.1553622,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kaldip,1,2024-02-04_20h50.59.720,M2_experiment1,2023.2.3,59.99494841,2024-02-04 20h51.12.845095 +0100
