ItemNb,Condition,Sound1,DurationSound1,Sound2,DurationSound2,Sound3,DurationSound3,ExpectedKey,Condition2,trials_task3.thisRepN,trials_task3.thisTrialN,trials_task3.thisN,trials_task3.thisIndex,trials_task1.thisRepN,trials_task1.thisTrialN,trials_task1.thisN,trials_task1.thisIndex,thisRow.t,notes,Welcome.started,textWelcomeMessage.started,keyWelcome.started,Welcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.duration,Welcome_2.started,textWelcome2.started,key_resp_5.started,Welcome_2.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,Welcome_3.started,textWelcome3.started,key_resp_6.started,Welcome_3.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,blank.started,blank1.started,blank.stopped,volume_explanation.started,text_volume.started,key_resp_8.started,volume_explanation.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,volume.started,text_2.started,key_resp_7.started,sound_testvolume.started,volume.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,explanation.started,text.started,key_info_oddity.started,explanation.stopped,key_info_oddity.keys,key_info_oddity.rt,key_info_oddity.duration,task3.started,key_replay3.started,text_recording1_3.started,sound1_3.started,key_resp_question3.started,text_recording1_3.stopped,sound1_3.stopped,text_questiontask3.started,task3.stopped,key_resp_question3.keys,key_resp_question3.rt,key_resp_question3.duration,key_replay3.keys,explanation_3.started,text_4.started,key_resp_3.started,explanation_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,explanation_1.started,text_explanation_1.started,key_resp.started,explanation_1.stopped,key_resp.keys,key_resp.rt,key_resp.duration,task1.started,key_replay1.started,text_recording1.started,sound1.started,text_recording1.stopped,text_recording2.started,sound2.started,text_recording2.stopped,sound2.stopped,text_recording3.started,sound3.started,key_resp_question1.started,text_recording3.stopped,sound3.stopped,text_question1.started,task1.stopped,key_resp_question1.keys,key_resp_question1.rt,key_resp_question1.duration,key_replay1.keys,replay_count,sound1.stopped,key_replay1.rt,key_replay1.duration,Bye.started,text_6.started,Bye.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,0.0498467999859713,0.06531719997292385,0.06531719997292385,2.6294129000161774,space,2.557006100018043,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Liam2,001,2024-02-04_15h04.46.402,M2_experiment1,2023.2.3,59.92074880710405,2024-02-04 15h05.00.792645 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6294513000175357,2.6446417999686673,2.6446417999686673,2.92915699997684,space,0.2672927999519743,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Liam2,001,2024-02-04_15h04.46.402,M2_experiment1,2023.2.3,59.92074880710405,2024-02-04 15h05.00.792645 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9291929000173695,2.9455468999803998,2.9455468999803998,3.2124897000030614,space,0.2606034000054933,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Liam2,001,2024-02-04_15h04.46.402,M2_experiment1,2023.2.3,59.92074880710405,2024-02-04 15h05.00.792645 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.212526599992998,3.2285588000086136,4.228280899988022,4.228314100007992,4.244128399994224,4.244128399994224,15.343212999985553,space,11.084924900031183,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Liam2,001,2024-02-04_15h04.46.402,M2_experiment1,2023.2.3,59.92074880710405,2024-02-04 15h05.00.792645 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.343253200000618,15.370683799963444,16.359040400013328,16.35883833001135,17.52629219996743,space,1.1537357999477535,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Liam2,001,2024-02-04_15h04.46.402,M2_experiment1,2023.2.3,59.92074880710405,2024-02-04 15h05.00.792645 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.53765509999357,17.550232200010214,17.550232200010214,19.542272899998352,space,1.9834095000405796,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Liam2,001,2024-02-04_15h04.46.402,M2_experiment1,2023.2.3,59.92074880710405,2024-02-04 15h05.00.792645 +0100,
31,NotModifiedT,resources/new_sounds_not_modified/F3footer.wav,0.573733808005514,None,None,None,None,e,F,0,0,0,7,,,,,19.58768349996535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.57510519999778,19.58768349996535,20.057723100006115,0.5155137000256218,20.624181899998803,20.640740900009405,1.0985355000011623,21.126925399992615,24.530869400012307,r,3.9037604000186548,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Liam2,001,2024-02-04_15h04.46.402,M2_experiment1,2023.2.3,59.92074880710405,2024-02-04 15h05.00.792645 +0100,
34,ModifiedSH,resources/new_sounds_2/M7mosh.wav,0.486031746031746,None,None,None,None,r,M,0,1,1,10,,,,,24.5479261999717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.533873600012157,24.5479261999717,25.040977799973916,0.5079073999659158,25.52493830001913,25.541522899991833,1.008441599959042,26.027006299991626,26.906859799986705,r,1.3677165000117384,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Liam2,001,2024-02-04_15h04.46.402,M2_experiment1,2023.2.3,59.92074880710405,2024-02-04 15h05.00.792645 +0100,
47,ModifiedT,resources/new_sounds_2/M6root.wav,0.557210884353742,None,None,None,None,r,M,0,2,2,23,,,,,26.926202000002377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.908296399982646,26.926202000002377,27.423359200009145,0.515743600029964,27.972200199961662,27.989256599976216,1.0816304000327364,,28.30844629998319,e,0.3178667000029236,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Liam2,001,2024-02-04_15h04.46.402,M2_experiment1,2023.2.3,59.92074880710405,2024-02-04 15h05.00.792645 +0100,
44,ModifiedSH,resources/new_sounds_2/F2thrasher.wav,0.510249433106576,None,None,None,None,r,F,0,3,3,20,,,,,28.32540249999147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.30995470000198,28.32540249999147,28.82292259996757,0.5136924000107683,29.325754799996503,29.34190379997017,1.032661699980963,29.823586100013927,30.359290299995337,e,1.0215475999866612,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Liam2,001,2024-02-04_15h04.46.402,M2_experiment1,2023.2.3,59.92074880710405,2024-02-04 15h05.00.792645 +0100,
