ItemNb,Condition,Sound1,DurationSound1,Sound2,DurationSound2,Sound3,DurationSound3,ExpectedKey,Condition2,trials_task3.thisRepN,trials_task3.thisTrialN,trials_task3.thisN,trials_task3.thisIndex,trials_task1.thisRepN,trials_task1.thisTrialN,trials_task1.thisN,trials_task1.thisIndex,thisRow.t,notes,Welcome.started,textWelcomeMessage.started,keyWelcome.started,Welcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.duration,Welcome_2.started,textWelcome2.started,key_resp_5.started,Welcome_2.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,Welcome_3.started,textWelcome3.started,key_resp_6.started,Welcome_3.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,blank.started,blank1.started,blank1.stopped,blank.stopped,volume_explanation.started,text_volume.started,key_resp_8.started,volume_explanation.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,volume.started,text_2.started,key_resp_7.started,sound_testvolume.started,volume.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,explanation.started,text.started,key_info_oddity.started,explanation.stopped,key_info_oddity.keys,key_info_oddity.rt,key_info_oddity.duration,task3.started,key_replay3.started,text_recording1_3.started,sound1_3.started,key_resp_question3.started,text_recording1_3.stopped,text_questiontask3.started,task3.stopped,key_resp_question3.keys,key_resp_question3.rt,key_resp_question3.duration,key_replay3.keys,sound1_3.stopped,explanation_3.started,text_4.started,key_resp_3.started,explanation_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,explanation_1.started,text_explanation_1.started,key_resp.started,explanation_1.stopped,key_resp.keys,key_resp.rt,key_resp.duration,task1.started,key_replay1.started,text_recording1.started,sound1.started,text_recording1.stopped,text_recording2.started,sound2.started,text_recording2.stopped,sound2.stopped,text_recording3.started,sound3.started,key_resp_question1.started,text_recording3.stopped,text_question1.started,task1.stopped,key_resp_question1.keys,key_resp_question1.rt,key_resp_question1.duration,key_replay1.keys,replay_count,sound1.stopped,sound3.stopped,key_replay1.rt,key_replay1.duration,Bye.started,text_6.started,text_6.stopped,Bye.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,0.044288599980063736,0.06137649994343519,0.06137649994343519,8.370354000013322,space,8.299091900000349,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paul,001,2024-02-04_22h01.37.808,M2_experiment1,2023.2.3,60.12274663829117,2024-02-04 22h02.53.337998 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,8.370394099969417,8.385708999936469,8.385708999936469,18.733862199936993,space,10.33595650002826,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paul,001,2024-02-04_22h01.37.808,M2_experiment1,2023.2.3,60.12274663829117,2024-02-04 22h02.53.337998 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.73389929998666,18.75008110003546,18.75008110003546,36.37797060003504,space,17.615013800095767,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paul,001,2024-02-04_22h01.37.808,M2_experiment1,2023.2.3,60.12274663829117,2024-02-04 22h02.53.337998 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.378007799969055,36.39349259994924,37.3935644000303,37.377594199962914,37.37761450000107,37.3935644000303,37.3935644000303,43.859163900022395,space,6.449870400014333,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paul,001,2024-02-04_22h01.37.808,M2_experiment1,2023.2.3,60.12274663829117,2024-02-04 22h02.53.337998 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.85920119995717,43.88790820003487,44.874393600039184,44.87453568994533,54.9722529000137,space,10.081353900022805,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paul,001,2024-02-04_22h01.37.808,M2_experiment1,2023.2.3,60.12274663829117,2024-02-04 22h02.53.337998 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.98350960004609,54.9960657999618,54.9960657999618,84.77888660004828,space,29.777492600027472,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paul,001,2024-02-04_22h01.37.808,M2_experiment1,2023.2.3,60.12274663829117,2024-02-04 22h02.53.337998 +0100,
52,NotModifiedSH,resources/new_sounds_not_modified/M4swoosh.wav,0.736227123531279,None,None,None,None,e,M,0,0,0,28,,,,,84.87664519995451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.85695349995513,84.87664519995451,85.29421119997278,0.5153872000519186,86.02745579998009,86.05990200000815,86.52710109995678,92.20996510004625,r,6.165558199980296,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paul,001,2024-02-04_22h01.37.808,M2_experiment1,2023.2.3,60.12274663829117,2024-02-04 22h02.53.337998 +0100,
42,NotModifiedT,resources/new_sounds_not_modified/F4feat.wav,0.478604920503187,None,None,None,None,e,F,0,1,1,18,,,,,92.23054340004455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.21110059996136,92.23054340004455,92.72495890001301,0.5142414000583813,93.19153459998779,93.20820440002717,93.69138770003337,95.17585749994032,r,1.980993299977854,None,None,0.9974935000063851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paul,001,2024-02-04_22h01.37.808,M2_experiment1,2023.2.3,60.12274663829117,2024-02-04 22h02.53.337998 +0100,
38,ModifiedT,resources/new_sounds_2/M7butter.wav,0.44172335600907,None,None,None,None,r,M,0,2,2,14,,,,,95.19685209996533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.17664329998661,95.19685209996533,95.69062380003743,0.5143508999608457,96.12387769995257,96.14045549998991,96.62364570004866,97.62493900000118,e,1.4854774000123143,None,None,0.9641783999977633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paul,001,2024-02-04_22h01.37.808,M2_experiment1,2023.2.3,60.12274663829117,2024-02-04 22h02.53.337998 +0100,
26,ModifiedSH,resources/new_sounds_2/F2fleshing.wav,0.620294784580499,None,None,None,None,r,F,0,3,3,2,,,,,97.64571609999985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.62570930004586,97.64571609999985,98.14024019998033,0.5148983000544831,98.75644349993672,98.77289689995814,99.25620339997113,101.07363759994041,r,2.302520400029607,None,None,1.1475449999561533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paul,001,2024-02-04_22h01.37.808,M2_experiment1,2023.2.3,60.12274663829117,2024-02-04 22h02.53.337998 +0100,
